provinciaId,provincia,departamentoId,departamento,parentezco_jefe,parentezco_pareja,parentezco_hijo,parentezco_yerno,parentezco_nieto,parentezco_padre,parentezco_otros_familia,parentezco_otros_no_familia,parentezco_serv_domestico,parentezco_total,sexo_varon,sexo_mujer,sexo_total,pais_argentina,pais_otro,pais_total,lee_escribe_si,lee_escribe_no,lee_escribe_total,usa_pc_si,usa_pc_no,usa_pc_total,edad_0-4,edad_5-9,edad_10-14,edad_15-19,edad_20-24,edad_25-29,edad_30-34,edad_35-39,edad_40-44,edad_45-49,edad_50-54,edad_55-59,edad_60-64,edad_65-69,edad_70-74,edad_75-79,edad_80-84,edad_85-89,edad_90-94,edad_95-mas,edad_total,actividad_ocupado,actividad_desocupado,actividad_inactivo,actividad_total,escuela_asiste,escuela_asistio,escuela_nunca_asistio,escuela_total,educacion_inicial,educacion_primario,educacion_egb,educacion_secundario,educacion_polimodal,educacion_superior_no_univ,educacion_universitario,educacion_post_universitario,educacion_especial,educacion_total,educacion_completo_si,educacion_completo_no,educacion_completo_total
2,Ciudad de Buenos Aires,1,Comuna 1,84637,33887,50111,743,2626,2820,8460,5306,1059,189649,98097,107789,205886,154938,50948,205886,191626,6753,198379,127872,54442,182314,11669,10149,9913,11582,19494,21421,18893,15667,12899,12043,11991,10972,10069,8327,6437,5497,4512,2811,1173,367,205886,115106,5478,40224,160808,53886,141484,3009,198379,5878,42562,453,66566,730,18179,53395,7098,509,195370,103357,85626,188983
2,Ciudad de Buenos Aires,2,Comuna 2,73187,27727,34849,284,1239,2075,7014,3730,2187,152292,68042,89890,157932,142411,15521,157932,150443,3545,153988,122457,26150,148607,6220,5696,5486,8239,17054,16686,13106,9916,8268,8362,8897,9246,9491,8394,6823,5701,4965,3350,1511,521,157932,94799,3703,38033,136535,45488,107730,770,153988,3781,17566,242,34997,389,16394,69001,10495,353,153218,87300,61784,149084
2,Ciudad de Buenos Aires,3,Comuna 3,80544,33200,47601,823,2516,3534,8877,4518,353,181966,85601,101936,187537,157071,30466,187537,175486,5884,181370,128483,47475,175958,9889,9227,8986,10211,16523,17794,16784,14233,11898,11179,10769,10431,9585,8095,6620,5934,5071,2876,1072,360,187537,111137,4974,40042,156153,51527,128009,1834,181370,5644,38678,323,65514,510,18943,45008,4385,531,179536,93000,80361,173361
2,Ciudad de Buenos Aires,4,Comuna 4,76515,40484,74060,1882,5428,4139,9879,3137,177,215701,103166,115079,218245,179463,38782,218245,198695,9911,208606,133350,72961,206311,15589,15052,15106,15828,18189,18214,17928,15750,13732,12349,11955,10918,9515,7950,6531,5686,4479,2426,835,213,218245,117188,6758,49626,173572,62543,142709,3354,208606,8703,66730,472,82748,617,15358,27972,1905,747,205252,97549,98253,195802
2,Ciudad de Buenos Aires,5,Comuna 5,76863,35481,47525,696,2275,3336,5755,3102,326,175359,80806,98199,179005,160028,18977,179005,167938,5491,173429,130195,39694,169889,9006,8659,8295,9390,13298,15948,16469,13902,11416,10752,10948,10372,9750,8231,6723,5937,5209,3132,1218,350,179005,107804,4481,39007,151292,49060,123030,1339,173429,5514,33023,253,57891,298,20285,49172,5139,515,172090,91130,74931,166061
2,Ciudad de Buenos Aires,6,Comuna 6,75215,38033,47837,539,1722,2903,3924,2208,464,172845,78870,97206,176076,162914,13162,176076,165114,5334,170448,133755,33521,167276,9095,8409,7632,8565,11646,14191,15769,13967,11248,10869,11379,10767,10271,8521,7007,6210,5534,3305,1296,395,176076,105497,3841,40076,149414,45848,123651,949,170448,5643,27230,218,51304,197,20939,57214,6278,476,169499,95261,68119,163380
2,Ciudad de Buenos Aires,7,Comuna 7,81534,44007,71457,1347,3841,4169,7506,2736,417,217014,102481,118110,220591,179624,40967,220591,202512,9292,211804,145492,62835,208327,14368,13633,13200,14038,17561,17836,17755,15749,13484,12772,12858,11800,10933,9114,7582,6883,5864,3451,1331,379,220591,121177,5856,51721,178754,60056,148322,3426,211804,8037,52084,320,79266,350,19977,44527,3178,639,208378,106681,93021,199702
2,Ciudad de Buenos Aires,8,Comuna 8,58231,33190,73047,2022,6456,3192,8613,2093,76,186920,89545,97692,187237,143495,43742,187237,166149,10777,176926,99947,76663,176610,16754,15552,14927,15445,17423,16082,14681,13003,11124,9747,8682,7567,6829,5716,4795,4081,2849,1415,457,108,187237,91064,6387,45401,142852,55595,116830,4501,176926,8545,67541,470,73317,381,8210,12681,492,788,172425,76077,87015,163092
2,Ciudad de Buenos Aires,9,Comuna 9,56516,32600,54467,1305,3476,3697,5913,1812,141,159927,76207,85590,161797,139877,21920,161797,149167,6573,155740,103534,50402,153936,10091,10195,9985,10444,11672,11934,12341,11699,10341,9652,9493,8913,8341,7156,6003,5567,4420,2522,811,217,161797,85429,4687,41757,131873,42898,110682,2160,155740,6043,44975,253,63371,234,13358,23599,1230,517,153580,78492,68528,147020
2,Ciudad de Buenos Aires,10,Comuna 10,61460,35057,52697,1098,2993,3650,4847,1673,222,163697,76972,89050,166022,149045,16977,166022,154334,6174,160508,115598,42635,158233,9242,9403,8986,9813,11668,12239,12943,11947,10367,10472,10705,9967,9177,7513,6511,5945,4964,2903,1013,244,166022,92517,4396,41092,138005,43250,115663,1595,160508,6010,37250,197,60772,260,17992,33794,2102,536,158913,84888,67479,152367
