tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_reunion,extra2_inscripcion,extra3_socios,lat,lon
Centro de jubilados,,,CENTRO JYP DE VILLA BENJAMIN ARAOZ,TUCUMAN,,,BENJAMIN ARAOZ,"RUTA 304 KM 55 S/N, BENJAMIN ARAOZ, TUCUMAN, Argentina",RUTA 304 KM 55 S/N,4119,,LUN. A VIE. 17 A 20 HS.,1990-12-13,144,,
Centro de jubilados,,,C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ,TUCUMAN,,,ESTACION ARAOZ,"SIN NOMBRE  5, ESTACION ARAOZ, TUCUMAN, Argentina",SIN NOMBRE  5,4119,,LUN. A VIE. 16 A 20 HS.,2001-06-01,91,,
Centro de jubilados,,,CENTRO DE JYP NAC DE EL CHAÑAR,TUCUMAN,,,EL CHANAR,"AV SAN CAYETANO S/N, EL CHANAR, TUCUMAN, Argentina",AV SAN CAYETANO S/N,4117,,LUNES A VIERNES 8 A 12,1988-06-15,500,,
Centro de jubilados,,,C JYP NAC GDOR GARMENDIA,TUCUMAN,,,GOBERNADOR GARMENDIA,"ALFREDO BULLOT S/N, GOBERNADOR GARMENDIA, TUCUMAN, Argentina",ALFREDO BULLOT S/N,4187,,LUN. A VIE. 8 A 12 HS.,1994-01-14,150,,
Centro de jubilados,,,C JYP NAC 20 DE JUNIO,TUCUMAN,,,LA RAMADA,"9 DE JULIO 397, LA RAMADA, TUCUMAN, Argentina",9 DE JULIO 397,4119,,LUN. A VIE. 7 A 11 HS.,1993-01-04,245,,
Centro de jubilados,,,C JYP NAC 7 DE ABRIL,TUCUMAN,,,7 DE ABRIL,"PRINCIPAL S/N, 7 DE ABRIL, TUCUMAN, Argentina",PRINCIPAL S/N,4195,,LUNES 9 A 13 HS.,1994-01-11,70,,
Centro de jubilados,,,CENTRO AMISTAD 3ª EDAD Bº ECHEVERRIA Y VILLA MUÑECAS,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"JUAN LUIS NOUGUES 2251, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",JUAN LUIS NOUGUES 2251,4000,,LUN. A MIE. 8 A 12 HS.,1992-11-10,60,-26.8025454,-65.2376559
Centro de jubilados,,,C JYP NAC INDEPENDENCIA,TUCUMAN,,,TUCUMAN,"LA PLATA 757, TUCUMAN, TUCUMAN, Argentina",LA PLATA 757,4000,,L-MA-J 17 A 20 HS,1984-05-23,480,-26.8395622,-65.2402373
Centro de jubilados,,,ASOC JYP DE COMERCIO Y ACTIV CIVILES,TUCUMAN,,,TUCUMAN,"GRAL. PAZ 976, TUCUMAN, TUCUMAN, Argentina",GRAL. PAZ 976,4000,,MAR. Y VIE. 18:30/21 HS.,1985-08-15,694,,
Centro de jubilados,,,C JYP CERVECEROS DE TUCUMAN,TUCUMAN,,,TUCUMAN,"ESPAÑA 971, TUCUMAN, TUCUMAN, Argentina",ESPAÑA 971,4000,,MARTES 18 HS.,1987-09-08,87,-26.8168904,-65.2029292
