tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_delegacion,extra2_codigo_delegacion,extra3,lat,lon
Farmacia,,930200617,ALBANESSE,BUENOS AIRES,,,BOLIVAR,"AVENIDA LAVALLE 374, BOLIVAR, BUENOS AIRES, Argentina",AVENIDA LAVALLE 374,6550,,AZUL,30,,,
Farmacia,,930010532,ALEM,BUENOS AIRES,,,OLAVARRIA,"RIVADAVIA 2927, OLAVARRIA, BUENOS AIRES, Argentina",RIVADAVIA 2927,7400,,AZUL,30,,,
Farmacia,,930200263,ALVAREZ,BUENOS AIRES,,,OLAVARRIA,"BELGRANO 2897, OLAVARRIA, BUENOS AIRES, Argentina",BELGRANO 2897,7400,,AZUL,30,,,
Farmacia,,930200961,AMMBA LOMA NEGRA,BUENOS AIRES,,,LOMA NEGRA,"A BAROS Y CALLE 13, LOMA NEGRA, BUENOS AIRES, Argentina",A BAROS Y CALLE 13,7403,,AZUL,30,,,
Farmacia,,930010716,AMMBA SIERRAS BAYAS,BUENOS AIRES,,,SIERRAS BA,"J A ROCA 2338, SIERRAS BA, BUENOS AIRES, Argentina",J A ROCA 2338,7403,,AZUL,30,,,
Farmacia,,930000691,ARGENTINA,BUENOS AIRES,,,LAS FLORES,"H YRIGOYEN 444, LAS FLORES, BUENOS AIRES, Argentina",H YRIGOYEN 444,7200,,AZUL,30,,,
Farmacia,,930201072,ARGENTINA,BUENOS AIRES,,,ROQUE PERE,"SARMIENTO Y MITRE, ROQUE PERE, BUENOS AIRES, Argentina",SARMIENTO Y MITRE,7245,,AZUL,30,,,
Farmacia,,930000657,ARRIEGUEZ,BUENOS AIRES,,,CHILLAR,"CORTAZAR 700, CHILLAR, BUENOS AIRES, Argentina",CORTAZAR 700,7311,,AZUL,30,,,
Farmacia,,930200992,ASOC MUT TRABAJADORES MUNIC,BUENOS AIRES,,,SALADILLO,"SAN MARTIN 2704, SALADILLO, BUENOS AIRES, Argentina",SAN MARTIN 2704,7260,,AZUL,30,,,
Farmacia,,930200045,ASOC. MUT. MERC.BS.A,BUENOS AIRES,,,GENERAL LAMADRID,"AVENIDA URIBURU 925, GENERAL LAMADRID, BUENOS AIRES, Argentina",AVENIDA URIBURU 925,7406,,AZUL,30,,,
Farmacia,,930200511,AV 25 DE MAYO,BUENOS AIRES,,,AZUL,"GUAMINI 601, AZUL, BUENOS AIRES, Argentina",GUAMINI 601,7300,,AZUL,30,,,
Farmacia,,930201041,BALDINI,BUENOS AIRES,,,OLAVARRIA,"URQUIZA 3920, OLAVARRIA, BUENOS AIRES, Argentina",URQUIZA 3920,7400,,AZUL,30,,,
Farmacia,,930200573,BIDE,BUENOS AIRES,,,DAIREAUX,"JOSE HERNANDEZ 428, DAIREAUX, BUENOS AIRES, Argentina",JOSE HERNANDEZ 428,6555,,AZUL,30,,,
Farmacia,,930200679,BOTIQUIN FARMACEUTICO,BUENOS AIRES,,,POLVAREDAS,"AVENIDA LOS TILOS, POLVAREDAS, BUENOS AIRES, Argentina",AVENIDA LOS TILOS,7267,,AZUL,30,,,
Farmacia,,930200390,BUENO,BUENOS AIRES,,,OLAVARRIA,"BELGRANO 2450, OLAVARRIA, BUENOS AIRES, Argentina",BELGRANO 2450,7400,,AZUL,30,,,
Farmacia,,930000609,BURGAN,BUENOS AIRES,,,AZUL,"AVENIDA MITRE 602, AZUL, BUENOS AIRES, Argentina",AVENIDA MITRE 602,7300,,AZUL,30,,,
Farmacia,,930200542,CAMPO,BUENOS AIRES,,,J J PASO,"SARMIENTO 401, J J PASO, BUENOS AIRES, Argentina",SARMIENTO 401,6474,,AZUL,30,,,
