id_prest_boca_atencion;d_prest_boca_atencion;id_prest_prestador;d_prest_calle;n_prest_puerta;c_prest_piso_depto;c_prest_cp4;n_prest_boca_x;n_prest_boca_y;c_geog_prest_boca_loc;d_geog_prest_boca_loc;c_geog_prest_boca_dpto;d_geog_prest_boca_dpto;c_geog_prest_boca_pcia;d_geog_prest_boca_pcia;m_prest_habilitado
2;BONINI NICOLAS ALBERTO ;5.003.814;NAZCA;3183;PB 1;1.417;-58,4909458571;-34,6001101429;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
3;BADON ALEJANDRA FABIANA;5.003.827;COSQUIN;5124;01;1.439;-58,4745250408;-34,6868953673;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
4;DOMICILIO;5.003.828;CESAR DIAZ;719;;1.625;-58,7969220000;-34,3465732500;20.320.031;GARIN;2.032;PTDO. ESCOBAR;2;BUENOS AIRES;S
5;CONSULTORIO -ESCOBAR;5.003.830;ASBORNO;478;;1.625;0,0000000000;0,0000000000;20.870.065;MAQUINISTA SAVIO;2.087;PTDO. PILAR;2;BUENOS AIRES;S
6;CONSULTORIO;5.003.831;SAN MARTIN;945;;3.360;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
7;CONSULTORIO;5.003.832;BARREIRO;1031;;3.360;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
8;BLATTER LORENA JUDIT;5.003.835;CHACABUCO;57;;7.240;-59,0961577143;-35,1827810000;20.650.011;LOBOS;2.065;PTDO. LOBOS;2;BUENOS AIRES;S
9;MOYANO GUILLERMO DARIO;5.003.834;20 DE SEPTIEMBRE;2226;;7.601;-57,5501599388;-37,9967536531;20.470.012;MAR DEL PLATA;2.047;PTDO. GENERAL PUEYRREDON;2;BUENOS AIRES;S
10;UGL SAN JUAN;5.003.836;MENDOZA S;491;;5.400;-68,0000000000;-31,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
11;UGL CAPITAL FEDERAL;5.003.837;BARTOLOME MITRE;1340;;1.036;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
