nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
CENTRO JYP DE VILLA BENJAMIN ARAOZ;RUTA 304 KM 55;S/N;BENJAMIN ARAOZ;BURRUYACU;24;4119;1;2;LUN. A VIE. 17 A 20 HS.;08-nov-90;144;11-jun-13;B° ISLAS MALVINAS CASA 11 N°0;13-Dec-90;11-nov-12;11-nov-14
C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ;SIN NOMBRE ;5;ESTACION ARAOZ;LEALES;24;4119;1;1;LUN. A VIE. 16 A 20 HS.;  -   -;91;22-feb-08;;01-jun-01;07-sep-11;07-sep-13
CENTRO DE JYP NAC DE EL CHAÑAR;AV SAN CAYETANO;S/N;EL CHANAR;BURRUYACU;24;4117;1;1;LUNES A VIERNES 8 A 12;18-feb-88;500;22-jul-08;;15-jun-88;31-mar-12;31-mar-14
C JYP NAC GDOR GARMENDIA;ALFREDO BULLOT;S/N;GOBERNADOR GARMENDIA;BURRUYACU;24;4187;1;1;LUN. A VIE. 8 A 12 HS.;14-sep-93;150;10-jun-13;;14-Jan-94;21-oct-12;21-oct-14
C JYP NAC 20 DE JUNIO;9 DE JULIO;397;LA RAMADA;BURRUYACU;24;4119;1;8;LUN. A VIE. 7 A 11 HS.;06-nov-90;245;28-jun-12;;04-Jan-93;04-mar-11;04-mar-14
C JYP NAC 7 DE ABRIL;PRINCIPAL;S/N;7 DE ABRIL;BURRUYACU;24;4195;1;8;LUNES 9 A 13 HS.;18-may-93;70;17-oct-12;;11-Jan-94;09-jul-12;09-jul-14
CENTRO AMISTAD 3ª EDAD Bº ECHEVERRIA Y VILLA MUÑECAS;JUAN LUIS NOUGUES;2251;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;3;LUN. A MIE. 8 A 12 HS.;12-Dec-91;60;18-oct-11;;10-nov-92;30-Apr-11;30-Apr-14
C JYP NAC INDEPENDENCIA;LA PLATA;757;TUCUMAN;S.M. DE TUCUMAN;24;4000;1;3;L-MA-J 17 A 20 HS;12-nov-83;480;19-sep-13;;23-may-84;05-Jan-13;05-Jan-17
ASOC JYP DE COMERCIO Y ACTIV CIVILES;GRAL. PAZ;976;TUCUMAN;CAPITAL;24;4000;1;5;MAR. Y VIE. 18:30/21 HS.;07-Aug-83;694;07-nov-13;;15-Aug-85;10-Dec-12;10-may-15
C JYP CERVECEROS DE TUCUMAN;ESPAÑA;971;TUCUMAN;CAPITAL;24;4000;1;7;MARTES 18 HS.;14-Aug-86;87;29-mar-10;;08-sep-87;30-Apr-11;30-may-15
MOVIMIENTO MUJERES FRATERNALES 2 DE MAYO;LAS PIEDRAS;248;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LUN. MIE. VIE. 8 A 12 HS.;02-may-86;300;21-feb-13;;21-sep-87;16-jul-10;16-jul-14
CIRC DE JYP DE LA UNIVERSIDAD NAC DE TUCUMAN;LAS PIEDRAS;1257;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;LUN. Y VIE.  17 A 20 HS.;18-Apr-86;480;11-jul-13;;21-mar-88;12-mar-13;12-mar-15
C JYP DE LUZ Y FUERZA;PIEDRAS (1º PISO);348;TUCUMAN;CAPITAL;24;4000;1;9;L-M Y V 8 A 11/30;04-jun-49;48;29-mar-10;;21-jun-88;23-oct-09;23-oct-13
JYP C MANUEL DE ESTRADA DE VILLA LUJAN;PJE. RECONQUISTA;549;TUCUMAN;CAPITAL;24;4000;1;2;LUN. A VIE. 16 A 20 HS.;01-jul-89;209;13-jul-12;;28-feb-90;28-Apr-12;28-Apr-16
C JYP NAC BARRIO GENTE DE PRENSA;GRAL PAZ ;2777;S M DE TUCUMAN;CAPITAL;24;4000;1;1;JUEVES 16:30 HS.;29-oct-89;300;30-Apr-10;;21-mar-90;30-may-12;30-may-15
C JYP TELEFONICOS DE TUCUMAN;SALTA;34;TUCUMAN;CAPITAL;24;4000;1;2;LU A VI 8 A 12 HS;01-jun-90;197;05-sep-12;;16-nov-90;30-Apr-12;30-Apr-16
C JYP SARGENTO CABRAL;COLOMBIA;2259;TUCUMAN;SAN MIGUEL DE TUCUMAN;24;4000;1;1;LUNES 14 A 21 HS.;29-sep-90;180;10-jul-13;;03-Jan-91;18-Apr-13;30-Apr-15
CENTRO DE JYP NAC VILLA MUÑECAS NORTE;FRANCISCO DE AGUIRRE;3245;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;8;1º Y ULTIMO VIERN DEL MES;30-jul-90;105;23-mar-10;;23-Apr-91;11-Aug-10;11-Aug-13
C JYP NAC Y MUN DE ATE;SILVANO BORES ;28;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LU A VI 8 A 12 HS;25-oct-90;247;17-oct-07;;17-may-91;04-Aug-11;04-Aug-15
C JYP FERROVIARIOS 8 DE DICIEMBRE; PASAJE ZAVALETA ;4339;Bº FERROVIARIO;CAPITAL;24;4000;1;1;LUN. A VIE. 8 A 12 HS.;08-may-91;324;09-Aug-12;;28-may-91;22-jun-12;22-jun-16
C JYP DEL AUTOTRANSP DE PAS DE TUCUMAN;BENJAMIN VILLAFAÑE ;1532;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;L A V 17 A 20 HS;01-mar-89;300;02-sep-13;;06-Jan-93;17-mar-13;17-mar-15
C JYP EL PORVENIR;ALBERTO ROUGES;1722;SAN  MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;JUE 8 A 11;07-Jan-93;334;19-sep-13;;31-mar-93;23-mar-13;23-mar-15
C JYP NAC 17 DE JULIO SAN CAYETANO;RICARDO ROJAS Y G. SAL;400;SAN CAYETANO;CAPITAL;24;4000;1;2;LUN. A VIE. 9 A 12 HS.;17-jul-93;250;19-oct-11;;14-Apr-94;30-Apr-12;30-Apr-14
C JYP NAC ROSAS Y JAZMINES Bø N AVELLANEDA;LIBERTAD ;1437;S MS DE TUCUMAN;CAPITAL;24;4000;1;0;MA Y VI 16/30 A 20 HS;18-feb-94;165;20-sep-13;;18-jul-94;28-oct-12;28-oct-14
C JYP NAC  UNIDOS;JOSE MANUEL ESTRADA  ;2660;S.M. DE TUCUMAN;CAPITAL;24;4000;1;0;SIN DATO;02-Dec-94;200;08-jul-13;;17-may-95;16-jul-12;16-jul-14
C JYP NAC LAS VICTORIAS;PJE VIEYTEN;2062;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;9;MENSUALES;26-Dec-94;430;03-Aug-12;;19-oct-95;30-mar-13;30-mar-15
C JYP VILLA AMALIA;BENJAMIN LAVAISSE;314;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LUN. A VIE. 10 A 12 HS.;08-Apr-95;125;07-sep-12;;20-oct-95;07-jun-12;05-Dec-15
C JYP NAC AMISTAD LUZ Y VIDA;RAUL COLOMBRES;72;SAN  MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LUN. MIE. VIE.18 A 20 HS.;29-nov-94;152;16-oct-12;;20-oct-95;30-Apr-12;30-Apr-14
C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN;LUCAS CORDOBA;390;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;LUN. A VIE. 16 A 20 HS.;09-Jan-98;240;12-jul-12;;20-may-98;27-Apr-12;27-Apr-16
"C JYP NAC ""RENACER""";PJE COMANDANTE ROSALES;1366;S. MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;1;LU Y vie 8/11;10-oct-97;230;18-jul-12;;25-jun-98;10-oct-11;10-oct-13
C JYP NACIONALES DE VILLA ANGELINA;ANTONIO P.PALAVECINO;820;SM.DE TUCUMAN;CAPITAL;24;4000;1;5;SIN DATO;08-Aug-98;89;18-nov-13;;06-oct-98;24-mar-13;24-mar-15
FED DE JYP FERROVIARIOS Y DEMAS LEYES NACIONALES;JUJUY;1148;S.M.TUCUMAN;CAPITAL;24;4000;1;5;;14-mar-98;6;12-Aug-05;;23-Dec-98;14-may-05;14-jun-09
C DE JYP. NAC. DEL MILAGRO;PJE, LAMADRID ;539;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LU A VIE 8/12 Y 16/20 HS;19-oct-98;700;13-Apr-07;;14-Jan-99;24-jun-09;24-jun-11
FED DE CENTROS DE JYP NAC UNION DE SAN MIGUEL DE TUCUMAN;SANTA FE;2644;S.M.DE TUCUMAN;CAPITAL;24;4000;1;7;QUINCENAL;30-oct-98;49;03-mar-09;;20-jul-99;30-sep-07;30-sep-10
CENTRO DE JYP NAC SAN JAVIER;SANTA FE ;2644;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;3;MIERCOLES 18 HS. (CD);20-Aug-99;300;10-Dec-07;;25-may-00;20-Aug-12;20-Aug-14
ASOC. DE AMIGOS JUB. Y PENS. NAC.;SANTIAGO DEL ESTERO;1124;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;LUN. A VIE. 19 A 21 HS.;19-may-99;180;19-sep-13;;17-jul-00;17-may-13;19-may-15
CENTRO DE JUB. Y PENS. MEJORT TUCUMAN;9 DE JULIO;775;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;2;MIE 14/18;20-mar-00;300;20-oct-11;;17-jul-00;30-Apr-11;30-Apr-15
CLUB DE ABUELOS JUVENTUD, ALEGRIA, VIDA.;SAN LORENZO;1283;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;LUN. MIE. VIE. 8/10:30 HS;30-mar-97;1000;14-Jan-13;;03-Apr-01;13-sep-12;30-Apr-13
CENTRO DE JYP UN LUGAR EN EL MUNDO;FLORENTINO AMEGHINO;53;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;0;JUEVES 9 A 21 HS.;07-sep-98;169;25-oct-11;;01-jun-01;21-jul-11;21-jul-13
"CTRO DE JYP NAC. ""UNION AMISTAD Y VALOR""";COLOMBIA;463;SAN MIGUEL DE TUCUMAN;CAPITAL;24;4000;1;5;V 8-12 Y 17-20 HS;23-Jan-02;300;12-jul-12;;27-Aug-01;23-Jan-12;23-Jan-14
