provincia;ugl;c_ugl;id_farm;nombre_farmacia;direccion;localidad;cp
;TUCUMAN;1;5.335;MUÑECAS;CONGRESO 00011;S M DE TUC;
;TUCUMAN;1;99.000.100.000;NUESTRA SEÑORA DEL V;24 DE SETIEMBRE 00831;BANDA RIO ;
;TUCUMAN;1;99.000.104.002;SANTA TERESITA;SAN MARTIN 00032;LA COCHA  ;
;TUCUMAN;1;99.000.105.009;DEL VALLE;AV PTE PERON 00300;LA REDUCCI;
;TUCUMAN;1;99.000.106.007;UNION;SARMIENTO 00162;FAMAILLA  ;
;TUCUMAN;1;99.000.107.005;LIBERTAD;JUJUY Y GENERAL PA 00000;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.000.110.009;BRAHIM;ALM BROWN 00101;LULES;T4128APQ
TUCUMAN;TUCUMAN;1;99.000.111.007;EL CONDOR;NUEVE DE JULIO 00101;LULES;T4128AZC
TUCUMAN;TUCUMAN;1;99.000.112.005;LULES;BELGRANO 00036;LULES;T4128AVD
TUCUMAN;TUCUMAN;1;99.000.113.003;LIBERTAD;LIBERTAD 00165;LULES     ;T4128AIQ
TUCUMAN;TUCUMAN;1;99.010.116.004;AMERICA;JUNIN 00691;TUCUMAN   ;T4001DYV
;TUCUMAN;1;99.010.118.000;ASUNCION;ASUNCION 00799;S M DE TUC;
;TUCUMAN;1;99.010.120.006;AVENIDA;AVENIDA BELGRANO 02604;S M DE TUC;
;TUCUMAN;1;99.010.122.002;BARBADO;PROSPERO MENA 00575;S M DE TUC;
;TUCUMAN;1;99.010.123.000;BLAS PARERA;BLAS PARERA 00201;S M DE TUC;
;TUCUMAN;1;99.010.125.005;CALCAGNO;FCO DE AGUIRRE 01498;S M DE TUC;
;TUCUMAN;1;99.010.126.003;CENTRAL;AVENIDA AVELLANEDA 00705;S M DE TUC;
;TUCUMAN;1;99.010.129.007;DEL PUEBLO;AVENIDA ALEM 00199;S M DE TUC;
;TUCUMAN;1;99.010.130.005;EJERCITO DEL NORTE;EJERCITO DEL NORTE 00345;S M DE TUC;
;TUCUMAN;1;99.010.131.003;EL CONDOR;ALBERDI 00489;S M DE TUC;
;TUCUMAN;1;99.010.134.007;FLORENCIA;DON BOSCO 02590;S M DE TUC;
;TUCUMAN;1;99.010.135.004;GUEMES;RAUL COLOMBRES 00102;S M DE TUC;
;TUCUMAN;1;99.010.138.008;ITATI;CAMINO DEL PERU 00000;S M DE TUC;
;TUCUMAN;1;99.010.140.004;KENNEDY;PERU 03174;S M DE TUC;
;TUCUMAN;1;99.010.144.006;LA UNION;SAN MARTIN 00623;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.145.003;VALBEN;JUAN LUIS NOUGUES 00112;TUCUMAN   ;T4001IFD
;TUCUMAN;1;99.010.147.009;LOS ANGELES;PASAJE ZUVIRIA 00214;S M DE TUC;
;TUCUMAN;1;99.010.148.007;LOS PINOS;MUÑECAS 02101;S M DE TUC;
;TUCUMAN;1;99.010.149.005;LA MERCED;SANTIAGO 00101;S M DE TUC;
;TUCUMAN;1;99.010.154.005;NAMUNCURA;CORDOBA 00551;S M DE TUC;
;TUCUMAN;1;99.010.155.002;NOROESTE;RIVADAVIA 01989;S M DE TUC;
;TUCUMAN;1;99.010.156.000;NUEVA;LAVALLE 00999;S M DE TUC;
;TUCUMAN;1;99.010.158.006;PRIMAVERA;AVENIDA J B JUSTO 01558;S M DE TUC;
;TUCUMAN;1;99.010.160.002;SAENZ PEÑA;SAENZ PEÑA 00501;S M DE TUC;
;TUCUMAN;1;99.010.163.006;SAN PABLO;SAN MARTIN 00165;S M DE TUC;
;TUCUMAN;1;99.010.169.003;SAGRADO CORAZON;VEINTICINCO DE MAY 00660;SIMOCA    ;
;TUCUMAN;1;99.010.176.008;CONCEPCION;24 DE SETIEMBRE 00048;BANDA RIO ;
;TUCUMAN;1;99.010.177.006;EL MIRADOR;AVENIDA AMERICA 00138;BANDA RIO ;
;TUCUMAN;1;99.010.178.004;LASTENIA;TORNQUIST 00501;LASTENIA  ;
;TUCUMAN;1;99.010.179.002;SANTA ROSA;S/N 00000;STA ROSA D;
TUCUMAN;TUCUMAN;1;99.010.180.000;NOBEL;SAN MARTIN 00102;LULES;T4128ART
TUCUMAN;TUCUMAN;1;99.010.181.008;SAN ANTONIO;LAVALLE 00362;FAMAILLA  ;T4132AJH
;TUCUMAN;1;99.010.184.002;DEL CARMEN;BELGRANO 00000;TAFI DEL V;
TUCUMAN;TUCUMAN;1;99.010.188.003;ÑUÑORCO;COLON 00635;MONTEROS  ;T4142AFO
;TUCUMAN;1;99.010.191.007;SANTO DOMINGO;ESPAÑA 01298;CONCEPCION;
TUCUMAN;TUCUMAN;1;99.010.193.003;SAN MARTIN;SAN MARTIN 01795;CONCEPCION;T4146BDO
TUCUMAN;TUCUMAN;1;99.010.196.006;SANTA LUCIA;VELEZ SARSFIELD 00881;AGUILARES ;T4152AFY
TUCUMAN;TUCUMAN;1;99.010.198.002;SAN MARTIN;SAN MARTIN 00270;BELLA VIST;T4168APF
;TUCUMAN;1;99.010.199.000;PASTEUR;VEINTICINCO DE MAY 00501;SIMOCA    ;
;TUCUMAN;1;99.010.200.006;VEINTICINCO DE MAYO;VEINTICINCO DE MAY 00400;SIMOCA;
;TUCUMAN;1;99.010.201.004;LA MADRID S H;AVELLANEDA 00000;LAMADRID;
;TUCUMAN;1;99.010.202.002;EXODO;RIVADAVIA 00344;ALDERETE  ;
;TUCUMAN;1;99.010.205.005;SAN PABLO;AV SAN MARTIN 00084;SAN PABLO ;
;TUCUMAN;1;99.010.208.009;CURIA;GOMEZ LLUECA 00693;SIMOCA    ;
TUCUMAN;TUCUMAN;1;99.010.209.007;SANTA RITA;COLON 00077;MONTEROS  ;T4142AFC
;TUCUMAN;1;99.010.212.001;DARVICH;AVENIDA BELGRANO 03236;S M DE TUC;
;TUCUMAN;1;99.010.213.009;MATE DE LUNA;MATE DE LUNA 01798;S M DE TUC;
;TUCUMAN;1;99.010.215.004;LOS ALPES;AVENIDA ROCA 02515;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.216.002;SIERRA;RIVADAVIA 00106;MONTEROS;T4142CAV
;TUCUMAN;1;99.010.217.000;ALBA;AVENIDA SARMIENTO 00955;S M DE TUC;
;TUCUMAN;1;99.010.222.000;DEL BOSQUE;ITALIA 01802;S M DE TUC;
;TUCUMAN;1;99.010.226.001;SUR;AV ROCA 00199;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.231.001;DEL PUEBLO;AVENIDA ALEM 00160;TAFI VIEJO;T4103CNP
TUCUMAN;TUCUMAN;1;99.010.232.009;LOS ANDES;AVENIDA ALEM 00049;TAFI VIEJO;T4103CNK
;TUCUMAN;1;99.010.233.007;SAN LUIS;SAN MARTIN 00345;SIMOCA    ;
;TUCUMAN;1;99.010.234.005;BERMUDEZ;D PADRE MONTI 00236;S M DE TUC;
;TUCUMAN;1;99.010.235.002;SAN ISIDRO;SARMIENTO 00000;LOS SARMIE;
;TUCUMAN;1;99.010.236.000;INDEPENDENCIA;INDEPENDENCIA 00000;LA COCHA  ;
;TUCUMAN;1;99.010.239.004;NIEVES;AVDA INDEPENDENCIA 02614;S M DE TUC;
;TUCUMAN;1;99.010.241.000;SAGITARIO;AV ROCA 01722;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.242.008;MARTIN;24 DE SETIEMBRE 02476;CONCEPCION;T4146CCJ
TUCUMAN;TUCUMAN;1;99.010.245.001;DEL ROSARIO;25 DE MAYO 00252;MONTEROS  ;T4142ART
;TUCUMAN;1;99.010.246.009;COSTA;S/N 00000;VILLA CARM;
;TUCUMAN;1;99.010.247.007;ORIHUEL;AV MITRE 00871;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.250.001;DEL INCA;CAMINO DEL PERU 00228;YERBA BUEN;T4107CBS
;TUCUMAN;1;99.010.251.009;ARCOS;VILLA FIAD 00000;INGENIO LE;
;TUCUMAN;1;99.010.253.005;ASTURIAS;SANTIAGO 00497;S M DE TUC;
;TUCUMAN;1;99.010.256.008;DEL VALLE;JUAN JOSE PASO 00159;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.257.006;TORRES;UTTINGER 00102;TAFI VIEJO;T4103CQF
;TUCUMAN;1;99.010.261.008;DE LA ROSA;AV INDEPENCIA 00390;BANDA RIO ;
;TUCUMAN;1;99.010.262.006;SAN LUIS;ROLDAN Y AVELLANED 00000;RIO SECO  ;
;TUCUMAN;1;99.010.263.004;SAN ROQUE;S/N 00000;V DE LEALE;
;TUCUMAN;1;99.010.265.009;RIO SALI;BENJ A Y M BRAVO 00000;S M DE TUC;
;TUCUMAN;1;99.010.266.007;ADRI;LAMADRID 00269;S M DE TUC;
TUCUMAN;TUCUMAN;1;99.010.267.005;SAN JOSE;JUAN B ALBERDI 00116;AGUILARES;T4152CAJ
