tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_actividades,extra2_prestaciones,extra3_responsable,lat,lon
oficina,ugl,0,,CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,TUCUMAN 753,TUCUMAN 753,1312,CONMUTADOR: 5071-0100,"Yoga / otras técnicas orientales, memoria, alimentación saludable, técnicas de trabajo corporal, periodismo, artesanías / manualidades, literatura, recreación, música, danzas, paseos, salidas breves con fines recreativos, artesanías / manualidades, canto / coro, idiomas, artes plásticas, juegos demesa, reflexión y narración.",5071-0194 / 195 /189,DR. JAIME DE LA PARRA,-34.6011557,-58.3774998
oficina,agencia,142,AG. 01 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,JUAN BAUTISTA ALBERDI 5834,JUAN BAUTISTA ALBERDI 5834,1440,4635-2973 / 6438 / 6686 / 6685 DIRECTO: 4635-0547,"Música, juegos de mesa, juegos, festejos locales, narración, memoria, reflexión",,,-34.651497,-58.502458
oficina,agencia,143,AG. 02 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,AVENIDA RIVADAVIA 8999,AVENIDA RIVADAVIA 8999,1408,4672-9795 / 9626 / 6674 / 8021 / 4674 4674-2783 / 1605 /1498 DIRECTO: 4674-6444,"Gimnasia, paseos, salidas locales breves con fines recreativos, juegos actividades acuaticas, festejos locales, danzas, memoria, reunión de organización, yoga y otras técnicas orientales, artesanías/manualidades, computación.",,,-34.635997,-58.491064
oficina,agencia,144,AG. 03 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,AVENIDA FRANCISCO BEIRO 3572,AVENIDA FRANCISCO BEIRO 3572,1419,"4580-2780/81/82/83/84/85 DIRECTO4580-2781, fax: 4580-2784/86","Gimnasia, yoga / otras técnicas orientales, actividades acuáticas, festejos locales, danzas, memoria, reunión de organización, yoga / otras técnicas orientales, artesanias / manualidades y computación.",,,-34.600309,-58.502909
oficina,agencia,145,AG. 04 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,VIDAL 2322,VIDAL 2322,1428,"4576-0940/41/42/43/44/45/46/47, fax: 4576-0946","Gimnasia, actividad acuática, deportes, reflexión, juegos, festejos locales, artesanizs/manualidades, teatro, historia y tradiciones, danzas, teatro, idiomas, canto/coro, cine debate, yoga / otras técnicas orientales, literatura, computación, narración, artes plasticas, música y memoria",,,-34.562114,-58.462096
oficina,agencia,146,AG. 05 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,ECUADOR 638,ECUADOR 638,1214,"4511-0741/42/43/44/45/46/47/48 4961-8950 4962-0652, fax: 4511-0746","Técnicas de trabajo corporal, gimnasia, caminatas, actividad acuática, danzas juegos, artes plasticas, meoria, reflexión, yoga y otras técnicas orientales.",,,-34.602464,-58.407315
oficina,agencia,147,AG. 06 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,AV. RIVADAVIA 7358,AV. RIVADAVIA 7358,1406,4611-8751/9095/9285 4612-0884,"Gimnasia, caminatas, actividad acuática, teatro, canto/coro, juegos literatura, naración, música memoria, artes plasticas, artesanias / manualidades, técnicas de trabajo corporal y artes plasticas.",,,-34.630489,-58.469074
oficina,agencia,148,AG. 07 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,AVENIDA CORRIENTES 5165,AVENIDA CORRIENTES 5165,1414,"4514-9861/62/63/64/65/66/67, fax: 4514-9864","Voluntariado, danzas, actividad acuática, teatro, yoga / otras técnicas orientales, canto/coro, memoria, encuentros vivenciales, gimnasia, artesanias / manualidades, caminatas y literatura.",,,-34.600009,-58.438364
oficina,agencia,149,AG. 08 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,AVENIDA BELGRANO 3880,AVENIDA BELGRANO 3880,1210,"4983-1674/3721 4981-3312 4982-2042, fax: 4982-1518 / 4983-1674","Actividad acuática, titeres, artesanias / manualidades, yoga / otras técnicas orientales, acciones solidarias donantes, memoria, reflexión, literatura, teatro y juegos.",,,-34.615833,-58.421305
oficina,agencia,150,AG. 09 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,PASEO COLON 975,PASEO COLON 975,1063,"4362-4595 / 4292 / 4191 / 3133 / 0961 / 0510, fax: 4362-4494","Caminatas, reflexión, juegos, memoria, danzas, teatro, gimnasia, actividad solidaria con Escuela C. Pellegrini, técnicas de trabajo corporal, yoga / otras técnicas orientales y literatura.",,,-34.618976,-58.368992
oficina,agencia,151,AG. 10 (CAPITAL),CIUDAD AUTONOMA BS.AS.,,,CAPITAL FEDERAL,MORENO 1202,MORENO 1202,1312,4382-5533,"Gimnasia, yoga / otras técnicas orientales, caminatas, danzas, deportes, actividad acuática, reflexión, alimentación saludable, artesanías / manualidades, festejos locales, artes plasticas, técnicas de trabajo corporal, canto / coro, juegos, juegos de mesa, teatro, huertas, granja y jardinerías y controles médicos en salud.",,,-34.612019,-58.383497
oficina,agencia,694,BOCA DE ATENCION PARQUE PATRICIOS,CIUDAD AUTONOMA BS.AS.,,,CABA,AV. CASEROS 3401,AV. CASEROS 3401,1263,,,,,-34.638434,-58.413237
