provincia_id,provincia,ugl_id,ugl,tipo,agencia_id,agencia,localidad,direccion,cp,telefono,fax,pami_escucha,actividades,prestaciones_medicas,responsable,lat,lon
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,ugl,0,,CAPITAL FEDERAL,TUCUMAN 753,1312,CONMUTADOR: 5071-0100,,,"Yoga / otras técnicas orientales, memoria, alimentación saludable, técnicas de trabajo corporal, periodismo, artesanías / manualidades, literatura, recreación, música, danzas, paseos, salidas breves con fines recreativos, artesanías / manualidades, canto / coro, idiomas, artes plásticas, juegos demesa, reflexión y narración.",5071-0194 / 195 /189,DR. JAIME DE LA PARRA,-34.6011557,-58.3774998
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,142,AG. 01 (CAPITAL),CAPITAL FEDERAL,JUAN BAUTISTA ALBERDI 5834,1440,4635-2973 / 6438 / 6686 / 6685 DIRECTO: 4635-0547,,,"Música, juegos de mesa, juegos, festejos locales, narración, memoria, reflexión",,,-34.651497,-58.502458
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,143,AG. 02 (CAPITAL),CAPITAL FEDERAL,AVENIDA RIVADAVIA 8999,1408,4672-9795 / 9626 / 6674 / 8021 / 4674 4674-2783 / 1605 /1498 DIRECTO: 4674-6444,,,"Gimnasia, paseos, salidas locales breves con fines recreativos, juegos actividades acuaticas, festejos locales, danzas, memoria, reunión de organización, yoga y otras técnicas orientales, artesanías/manualidades, computación.",,,-34.635997,-58.491064
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,144,AG. 03 (CAPITAL),CAPITAL FEDERAL,AVENIDA FRANCISCO BEIRO 3572,1419,4580-2780/81/82/83/84/85 DIRECTO4580-2781,4580-2784/86,,"Gimnasia, yoga / otras técnicas orientales, actividades acuáticas, festejos locales, danzas, memoria, reunión de organización, yoga / otras técnicas orientales, artesanias / manualidades y computación.",,,-34.600309,-58.502909
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,145,AG. 04 (CAPITAL),CAPITAL FEDERAL,VIDAL 2322,1428,4576-0940/41/42/43/44/45/46/47,4576-0946,,"Gimnasia, actividad acuática, deportes, reflexión, juegos, festejos locales, artesanizs/manualidades, teatro, historia y tradiciones, danzas, teatro, idiomas, canto/coro, cine debate, yoga / otras técnicas orientales, literatura, computación, narración, artes plasticas, música y memoria",,,-34.562114,-58.462096
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,146,AG. 05 (CAPITAL),CAPITAL FEDERAL,ECUADOR 638,1214,4511-0741/42/43/44/45/46/47/48 4961-8950 4962-0652,4511-0746,,"Técnicas de trabajo corporal, gimnasia, caminatas, actividad acuática, danzas juegos, artes plasticas, meoria, reflexión, yoga y otras técnicas orientales.",,,-34.602464,-58.407315
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,147,AG. 06 (CAPITAL),CAPITAL FEDERAL,AV. RIVADAVIA 7358,1406,4611-8751/9095/9285 4612-0884,,,"Gimnasia, caminatas, actividad acuática, teatro, canto/coro, juegos literatura, naración, música memoria, artes plasticas, artesanias / manualidades, técnicas de trabajo corporal y artes plasticas.",,,-34.630489,-58.469074
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,148,AG. 07 (CAPITAL),CAPITAL FEDERAL,AVENIDA CORRIENTES 5165,1414,4514-9861/62/63/64/65/66/67,4514-9864,,"Voluntariado, danzas, actividad acuática, teatro, yoga / otras técnicas orientales, canto/coro, memoria, encuentros vivenciales, gimnasia, artesanias / manualidades, caminatas y literatura.",,,-34.600009,-58.438364
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,149,AG. 08 (CAPITAL),CAPITAL FEDERAL,AVENIDA BELGRANO 3880,1210,4983-1674/3721 4981-3312 4982-2042,4982-1518 / 4983-1674,,"Actividad acuática, titeres, artesanias / manualidades, yoga / otras técnicas orientales, acciones solidarias donantes, memoria, reflexión, literatura, teatro y juegos.",,,-34.615833,-58.421305
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,150,AG. 09 (CAPITAL),CAPITAL FEDERAL,PASEO COLON 975,1063,4362-4595 / 4292 / 4191 / 3133 / 0961 / 0510,4362-4494,,"Caminatas, reflexión, juegos, memoria, danzas, teatro, gimnasia, actividad solidaria con Escuela C. Pellegrini, técnicas de trabajo corporal, yoga / otras técnicas orientales y literatura.",,,-34.618976,-58.368992
